,name,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews,material type,standing screen display size,included components,international shipping,wireless type,line size,item weight,best sellers rank,pricing,additional features,connectivity technologies,batteries required?,batteries included?,manufacturer part number,part number,series,rating,shape,wattage,material care instructions,colour,hard drive rotational speed,type of bulb,item model number,number of items,hardware platform,brand,head style,manufacturer,ram,expansion,graphics card ram size,plug profile,cover included,number of lights,weight,shade material,warranty description,size,color name,display technology,language,is assembly required?,ASIN,assembled length,memory speed,card description,date first available,bulb features,color,processor brand,brand name,assembled width,graphics coprocessor,special features,installation method,binding,average life,batteries required,switch style,display type,chipset brand,style,department,national stock number,number of usb 3.0 ports,number of pieces,specific uses,screen resolution,item display height,package dimensions,number of usb 2.0 ports,display style,other display features,assembled height,hard drive interface,shade color,compatible devices,release date,switch installation type,certification,finish types,material,average battery life (in hours),batteries,os,max screen resolution,rear webcam resolution,color temperature,domestic shipping,light direction,computer memory type,item dimensions  lxwxh,model,processor count,folding,voltage,specification met,flash memory size,power source,measurement system,is discontinued by manufacturer,product dimensions,optical drive type,color screen,connector type,operating system,contains,item package quantity
10,"Sceptre IPS 24-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, E248W-FPT, Machine Black",,,,,https://www.amazon.com//Sceptre-Business-Computer-Speakers-E248W-FPT/product-reviews/B087QRW81Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,24 Inches,,,,,6.02 pounds,#577 in Electronics ( See Top 100 in Electronics ) #30 in Computer Monitors,,,,,,,,E248W-FPT,4.6,,,,,,,E248W-FPT,,,Sceptre,,Sceptre,,,,,,,,,,,,,,,B087QRW81Z,,,,"May 1, 2020",,Machine Black,,,,,,,,,,,,,,,,,,,1920x1080,,,,,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,21.25 x 7.03 x 15.53 inches,,,,120 volts_of_alternating_current,,,,,,21.25 x 7.03 x 15.53 inches,,,,,,
11,"LG 27GL83A-B 27 Inch Ultragear QHD IPS 1ms NVIDIA G-SYNC Compatible Gaming Monitor, Black",,,"DisplayPort Cable 6.6ft, iVANKY 4K DP Cable, DisplayPort 1.2 [4K@60Hz, 2K@165Hz, 2K@144Hz], Nylon…",/ivanky-DisplayPort-Braided-Display-Compatible/dp/B078HVDMW2/ref=pd_bxgy_2/136-5939710-9414825?_encoding=UTF8&pd_rd_i=B078HVDMW2&pd_rd_r=8a398d93-c52d-437f-a62e-1b1809ae499a&pd_rd_w=a8RqK&pd_rd_wg=3fvTX&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=AJ6STJ3H0X7T8VZFSWY1&psc=1&refRID=AJ6STJ3H0X7T8VZFSWY1,https://www.amazon.com//LG-27GL83A-B-Ultragear-Compatible-Monitor/product-reviews/B07YGZL8XF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,27 Inches,,,,,18.46 pounds,#300 in Electronics ( See Top 100 in Electronics ) #13 in Computer Monitors,,,,,,,,LG 27GL83A-B 27 Inch Ultragear QHD IPS 1ms NVIDIA G-SYNC Compatible Gaming,4.7,,,,,,,27GL83A-B,,,LG,,LG,,,,,,,,,,,,,,,B07YGZL8XF,,,,"September 1, 2019",,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2560 x 1440 Pixels,,,,,,10.8 x 24.2 x 22.6 inches,,,,110240 volts,,,,,,10.8 x 24.2 x 22.6 inches,,,,,,
12,"LG 27UN850-W 27 Inch Ultrafine UHD (3840 x 2160) IPS Display with VESA DisplayHDR 400, USB Type-C and 3-Side Virtually Borderless Display with Height/Swivel/Pivot/Tilt Adjustable Stand, Silver",,,,,https://www.amazon.com//LG-27UN850-W-DisplayHDR-Borderless-Adjustable/product-reviews/B08CVTTNN4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,27 Inches,,,,,13.5 pounds,"#1,159 in Electronics ( See Top 100 in Electronics ) #79 in Computer Monitors",,,,,,,,UltraFine,4.5,,,,,,,,,,LG,,LG,,,,,,,,,,,,,,,B08CVTTNN4,,,,"July 1, 2020",,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3840 x 2160 Pixels,,,,,,24.1 x 9.2 x 17.7 inches,,,,,,,,,,24.1 x 9.2 x 17.7 inches,,,,,,
13,"TechOrbits Three Monitor Stand Mount - SmartSWIVEL - Triple Computer Screen Desk Mount Arms - Full Motion Swivel Articulating Gas Springs - Universal Fit for 13"" - 30"" Screens Vesa Mount",Techorbits,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A37JAWGB5833BH&isAmazonFulfilled=1,BenQ 24 Inch IPS Monitor | 1080P | Proprietary Eye-Care Tech | Ultra-Slim Bezel | Adaptive…,https://www.amazon.com/BenQ-proprietary-borderless-Brightness-GW2480/dp/B072XCZSSW/ref=pd_bxgy_2/141-0392980-2259728?_encoding=UTF8&pd_rd_i=B072XCZSSW&pd_rd_r=d3ca862e-e9ee-4020-b787-70ebf646013d&pd_rd_w=R9B4x&pd_rd_wg=ssczm&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=DZKN2NH8PE9YBZHCADEZ&psc=1&refRID=DZKN2NH8PE9YBZHCADEZ,https://www.amazon.com//TechOrbits-Three-Monitor-Stand-Mount/product-reviews/B075SRGSK1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,16.7 pounds,"#18,025 in Office Products ( See Top 100 in Office Products ) #299 in Monitor Arms & Monitor Stands",,,,,,,,OF-MAA-0336,4.5,,,,,,,,,,TechOrbits,,TechOrbits,,,,,,,,,,,,,,,B075SRGSK1,,,,"September 20, 2017",,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 x 19 x 6 inches,,,,,,,,,No,14 x 19 x 6 inches,,,,,,
14,"TechOrbits Three Monitor Stand Mount - Triple Computer Screen Desk Mount Arms - Full Motion Swivel Articulating Mechanical Arms with Two USB Ports- Universal Fit for 17"" - 27"" Screens Vesa",Techorbits,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A37JAWGB5833BH&isAmazonFulfilled=1,"Sceptre E248W-19203R 24"" Ultra Thin 75Hz 1080p LED Monitor 2x HDMI VGA Build-in Speakers, Metallic…",https://www.amazon.com/Sceptre-E248W-19203R-Monitor-Speakers-Metallic/dp/B0773ZY26F/ref=pd_bxgy_2/132-7524954-5238059?_encoding=UTF8&pd_rd_i=B0773ZY26F&pd_rd_r=589db54b-4b39-41ab-b202-59e126a34e61&pd_rd_w=xV4hy&pd_rd_wg=K6vNV&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=ZNPM13WNNX4K38WZ7N7X&psc=1&refRID=ZNPM13WNNX4K38WZ7N7X,https://www.amazon.com//TechOrbits-Three-Monitor-Stand-Mount/product-reviews/B07JM6DLW4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,19.36 pounds,"#66,655 in Office Products ( See Top 100 in Office Products ) #835 in Monitor Arms & Monitor Stands",,,,,,,,,4.3,,,,,,,,,,,,TechOrbits,,,,,,,,,,,,,,,B07JM6DLW4,,,,"October 22, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,14 x 19 x 6 inches,,,,,,
15,PC 1080P Webcam with Mic. USB Camera for Video Calling & Recording Video Conference/Online Teaching/Business Meeting Compatible with Computer Desktop Laptop MacBook for Windows Android iOS Linux,Angetube shop US,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2JURZ59HXMZHV&isAmazonFulfilled=1,"Anker 4-Port USB 3.0 Hub, Ultra-Slim Data USB Hub with 2 ft Extended Cable [Charging Not Supported…",https://www.amazon.com/Anker-Extended-MacBook-Surface-Notebook/dp/B07L32B9C2/ref=pd_bxgy_2/135-6299948-0728821?_encoding=UTF8&pd_rd_i=B07L32B9C2&pd_rd_r=a2bd6675-6302-4858-a808-141e21c629e4&pd_rd_w=lXixH&pd_rd_wg=DzUYT&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=2GWPTRJ1R1VHNF3HN5Q2&psc=1&refRID=2GWPTRJ1R1VHNF3HN5Q2,https://www.amazon.com//Streaming-Megapixel-Microphone-Recording-Facebook/product-reviews/B074D2K7CZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,5.4 ounces,#191 in Webcams,,,,,,,,,4.4,,,,,,,920U,,,,,Angetube,,,,,,,,,,,,,,,B074D2K7CZ,,,,"July 29, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,3.35 x 2.05 x 2.8 inches,,,,,,
16,"LG 24M47VQ 24-Inch LED-lit Monitor, Black",,,,,https://www.amazon.com//LG-24M47VQ-24-Inch-LED-lit-Monitor/product-reviews/B00W95RR32/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,24 Inches,,,,,6.2 pounds,#103 in Electronics ( See Top 100 in Electronics ) #6 in Computer Monitors,,,,,,,,,4.7,,,,,,,24M47VQ,,,LG,,LG,,,,,,,,,,,,,,,B00W95RR32,,,,"April 9, 2015",,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,21.9 x 7.8 x 17.2 inches,,,,240 volts,,,,,No,21.9 x 7.8 x 17.2 inches,,,,,,
17,"ASUS ProArt Display PA278QV 27” WQHD (2560 x 1440) Monitor, 100% sRGB/Rec. 709 ΔE < 2, IPS, DisplayPort HDMI DVI-D Mini DP, Calman Verified, Eye Care, Anti-Glare, Tilt Pivot Swivel Height Adjustable",,,"DisplayPort Cable 6.6ft, iVANKY 4K DP Cable, DisplayPort 1.2 [4K@60Hz, 2K@165Hz, 2K@144Hz], Nylon…",/ivanky-DisplayPort-Braided-Display-Compatible/dp/B078HVDMW2/ref=pd_bxgy_2/137-5040787-1592161?_encoding=UTF8&pd_rd_i=B078HVDMW2&pd_rd_r=caa5d051-18c5-44e7-9f7e-a54efa7b5642&pd_rd_w=iImFg&pd_rd_wg=SVAtJ&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=WFJ341EQDNST7ZMMY2BT&psc=1&refRID=WFJ341EQDNST7ZMMY2BT,https://www.amazon.com//ASUS-PA278QV-DisplayPort-Anti-Glare-Adjustable/product-reviews/B088BC5HMM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,27 Inches,,,,,17.02 pounds,#486 in Electronics ( See Top 100 in Electronics ) #22 in Computer Monitors,,,,,,,,PA278QV,4.7,,,,,,,,,,ASUS,,Asus,,,,,,,,,,,,,,,B088BC5HMM,,,,"May 15, 2020",,BLACK,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,2560 x 1440 Pixels,,,,,,24.21 x 15.04 x 8.9 inches,,,,100240 volts,,,,,,24.21 x 15.04 x 8.9 inches,,,,,,
18,"ASUS VY249HE 23.8” Eye Care Monitor, 1080P Full HD, 75Hz, IPS, Adaptive-Sync/FreeSync, Eye Care Plus, Color Augmentation, Rest Reminder, Antibacterial Surface, HDMI VGA, Frameless, VESA Wall Mountable",,,"DisplayPort to HDMI, Benfei Gold-Plated DP Display Port to HDMI Adapter (Male to Female) Compatible…",/DisplayPort-Adapter-Converter-Gold-Plated-Compatible/dp/B017Q8ZVWK/ref=pd_bxgy_2/135-6145440-5649253?_encoding=UTF8&pd_rd_i=B017Q8ZVWK&pd_rd_r=be862c5c-8db3-449c-96f6-c4a11a65b28c&pd_rd_w=Yf8WB&pd_rd_wg=U8qdf&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=5DRJC2Z4H2WMDD5G23NN&psc=1&refRID=5DRJC2Z4H2WMDD5G23NN,https://www.amazon.com//ASUS-VY249HE-Adaptive-Sync-Augmentation-Antibacterial/product-reviews/B08K2LNCHM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,24 Inches,,,,,7.45 pounds,"#1,838 in Electronics ( See Top 100 in Electronics ) #118 in Computer Monitors",,,,,,,,,4.7,,,,,,,,,,ASUS,,Asus,,,,,,,,,,,,,,,B08K2LNCHM,,,,"December 16, 2020",,BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,21.3 x 15.47 x 7.28 inches,,,,,,,,,,21.3 x 15.47 x 7.28 inches,,,,,,
19,"LG 29WN600-W 29"" 21:9 UltraWide WFHD IPS HDR10 Monitor with FreeSync, Silver",,,,,https://www.amazon.com//LG-29WN600-W-29-21-UltraWide/product-reviews/B0876DBCBX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,29 Inches,,,,,10.4 pounds,#653 in Electronics ( See Top 100 in Electronics ) #35 in Computer Monitors,,,,,,,,29WN600-W,4.6,,,,,,,,,,LG,,LG,,,,,,,,,,,,,,,B0876DBCBX,,,,"April 16, 2020",,Silver,,,,,,,,,,,,,,,,,,,2560 x 1080,,,,,,,,,,,,,,,,,,2560 x 1080 Pixels,,,,,,27.1 x 8.2 x 12.3 inches,,,,,,,AC,,,27.1 x 8.2 x 12.3 inches,,,,,,
20,"SAMSUNG 27-inch M5 Smart Monitor with Mobile Connectivity, FHD, Remote Access, Office 365 (LS27AM500NNXZA), Black",,,,,https://www.amazon.com//SAMSUNG-27-inch-Monitor-Connectivity-LS27AM500NNXZA/product-reviews/B08JX2J5T4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,27 Inches,,,,,11 pounds,"#5,243 in Electronics ( See Top 100 in Electronics ) #297 in Computer Monitors",,,,,,,,LS27AM500NNXZA,3.8,,,,,,,LS27AM500NNXZA,,,SAMSUNG,,Samsung,,,,,,,,,,,,,,,B08JX2J5T4,,,,"November 16, 2020",,BLACK,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,12.04 x 24.2 x 22.68 inches,,,,110 volts,,,,,,12.04 x 24.2 x 22.68 inches,,,,,,
21,"Dell Gaming S2721HGF 27 Inch Curved FHD 144Hz 1080p VA Ultra-Thin Bezel Monitor, Nvidia G-Sync and AMD FreeSync HDMI, DisplayPort, VESA Certified, Gray",Hotwired,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A6YMPVN3GSBV7&isAmazonFulfilled=1,"DisplayPort Cable 6.6ft, iVANKY 4K DP Cable, DisplayPort 1.2 [4K@60Hz, 2K@165Hz, 2K@144Hz], Nylon…",https://www.amazon.com/ivanky-DisplayPort-Braided-Display-Compatible/dp/B078HVDMW2/ref=pd_bxgy_2/135-0354231-4081513?_encoding=UTF8&pd_rd_i=B078HVDMW2&pd_rd_r=b0cf35e4-805a-4d88-9be0-0fd3548da1ec&pd_rd_w=Vhiiw&pd_rd_wg=6eSK8&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=ESJDTXA62M9HKQXD7MSZ&psc=1&refRID=ESJDTXA62M9HKQXD7MSZ,https://www.amazon.com//Dell-S2721HGF-Ultra-Thin-DisplayPort-Certified/product-reviews/B08DW4D6HP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,27 Inches,,,,,12.34 pounds,#833 in Electronics ( See Top 100 in Electronics ) #47 in Computer Monitors,,,,,,,,,4.8,,,,,,,,,,Dell,,Dell Computers,,,,,,,,,,,,,,,B08DW4D6HP,,,,"July 29, 2020",,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,23.95 x 3.79 x 19.42 inches,,,,,,,,,,23.95 x 3.79 x 19.42 inches,,,,,,
