,name,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews,number of usb 2.0 ports,rear webcam resolution,ink color,chipset brand,batteries required?,connectivity technology,brand name,domestic shipping,model number,material,series,processor count,expansion,color name,language,hardware platform,brand,standing screen display size,shape,rating,rated,hard drive interface,voltage,date first available,computer memory type,batteries required,release date,international shipping,item dimensions  lxwxh,optical drive type,manufacturer,card description,color,wireless type,form factor,processor brand,hard drive rotational speed,product dimensions,max screen resolution,os,flash memory size,ASIN,number of usb 3.0 ports,battery cell type,item weight,colour,included components,other display features,graphics card ram size,average battery life (in hours),special features,package dimensions,size,battery description,part number,material type,connectivity technologies,batteries,department,type of bulb,operating system,is discontinued by manufacturer,national stock number,memory speed,device interface - primary,best sellers rank,manufacturer part number,item package quantity,number of items,batteries included?,binding,pricing,power source,item model number,graphics coprocessor,screen resolution
11,"NPET 2.4G Wireless Keyboard Ultra Slim Full Size Keyboard with Numeric Keypad, Ergonomic Design Wireless Keyboard with Easy Media Control for Computer/Desktop/PC/Laptop/Surface/Smart TV/Windows 10/8/7",NPETGame,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A12Z6LDCAYICPE&isAmazonFulfilled=1,"VicTsing MM057 2.4G Wireless Portable Mobile Mouse Optical Mice with USB Receiver, 5 Adjustable DPI…",https://www.amazon.com/VicTsing-Wireless-Portable-Receiver-Adjustable/dp/B013WC0P2A/ref=pd_bxgy_2/145-8285758-4668006?_encoding=UTF8&pd_rd_i=B013WC0P2A&pd_rd_r=00ecee1f-58ff-440e-a55b-710c86791697&pd_rd_w=U5v2N&pd_rd_wg=fD0RK&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=H16H0ZJ6JJD5G6CVBXM6&psc=1&refRID=H16H0ZJ6JJD5G6CVBXM6,https://www.amazon.com//NPET-Wireless-Keyboard-Ergonomic-Computer/product-reviews/B088CW5XTL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,4.3,,,,"May 9, 2020",,,,,,,NPET,,,,,,,17.52 x 5.87 x 0.93 inches,,,,,,,1.28 pounds,,,,,,,,,,,,,,,,,,,,,#135 in Computer Keyboards,,,,,,,,WK10-US,,
12,"Gaming Keyboard, RATEL All-Metal Panel with Mechanical Feeling Colorful Rainbow LED Backlit USB Computer Wired Keyboard for PC/MAC/Desktop Pro Gamer (Black & Rainbow LED Backlit)",Juzheng Direct,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A24T94C7UAHOFL&isAmazonFulfilled=1,,,https://www.amazon.com//Keyboard-RATEL-All-Metal-Mechanical-Colorful/product-reviews/B08DG3RMTD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,4.6,,,,"January 1, 2014",,,,,,,Juzheng Direct,,,,,,,17.44 x 6.77 x 1.18 inches,,,,B08DG3RMTD,,,2.2 pounds,,,,,,,,,,,,,,,,,,,,,#923 in Video Games ( See Top 100 in Video Games ) #14 in Mac Gaming Keyboards #64 in PC Gaming Keyboards,,,,,,,,,,
13,"Dell KM636 Wireless Keyboard & Mouse Combo (5WH32), Black",PARKDEALS,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2ROEHO99FD3C&isAmazonFulfilled=1,"Dell USB 3.0 Ultra HD/4K Triple Display Docking Station (D3100), Black",https://www.amazon.com/Dell-Display-Docking-Station-D3100/dp/B00O0M46KO/ref=pd_bxgy_2/135-1849729-9870022?_encoding=UTF8&pd_rd_i=B00O0M46KO&pd_rd_r=52557ebf-d1f4-41d0-a3a4-6e728dae7cfb&pd_rd_w=16KfE&pd_rd_wg=c41sb&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=AFM37RY1P965SD973GNR&psc=1&refRID=AFM37RY1P965SD973GNR,https://www.amazon.com//Dell-KM636-Wireless-Keyboard-5WH32/product-reviews/B01FM8H22S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,Dell,,,4.5,,,,"May 13, 2016",,,,,17.4 x 5.02 x 1 inches,,"Dell Marketing USA, LP",,Black,,,,,17.4 x 5.02 x 1 inches,,,,B01FM8H22S,,,15 ounces,,,,,,,,,,,,,4 AA batteries required. (included),,,,No,,,,#9 in Computer Keyboard & Mouse Combos,,,,,,,Battery,5WH32,,
14,"MFTEK RGB Rainbow Gaming Keyboard and Mouse Combo, Compact 87 Keys Backlit Computer Keyboard with Gaming Mouse, USB Wired Set for PC Gamer Laptop Work",MF Tech,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AIZLML0BX1OCV&isAmazonFulfilled=1,"RUNMUS Gaming Headset Xbox One Headset with 7.1 Surround Sound, PS4 Headset with Noise Canceling Mic…",https://www.amazon.com/RUNMUS-Surround-Canceling-Compatible-Controller/dp/B07GRM747Y/ref=pd_bxgy_2/144-0885365-7745123?_encoding=UTF8&pd_rd_i=B07GRM747Y&pd_rd_r=b45b90a4-d86d-4e8f-82ba-9f53b129aa47&pd_rd_w=ZLbLa&pd_rd_wg=sGeQ9&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=6HRW8HQGEEZFWS1QFT96&psc=1&refRID=6HRW8HQGEEZFWS1QFT96,https://www.amazon.com//MFTEK-Rainbow-Keyboard-Compact-Computer/product-reviews/B085217GYP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,4.5,,,,"February 22, 2020",,,,,,,MFTEK,,,,,,,,,,,B085217GYP,,,2.27 pounds,,,,,,,15.04 x 6.73 x 3.9 inches,,,,,,,,,,,,,,"#1,023 in Video Games ( See Top 100 in Video Games ) #72 in PC Gaming Keyboards",,,,,,,,,,
15,"PICTEK RGB Gaming Keyboard USB Wired Keyboard, Crater Architecture Backlit Computer Keyboard with 8 Independent Multimedia Keys, 25 Keys Anti-ghosting, Splash-Proof, Ideal for PC/Mac Game, Black",weiyu US,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3A119SZZQ9N7L&isAmazonFulfilled=1,"VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for…",https://www.amazon.com/VicTsing-Stitched-Premium-Textured-Non-Slip-10-2%C3%978-3%C3%970-08/dp/B075WW7V6W/ref=pd_bxgy_2/145-4154055-7354336?_encoding=UTF8&pd_rd_i=B075WW7V6W&pd_rd_r=0a2679c3-aa49-4d4e-9d15-34adb40e8935&pd_rd_w=AzK6o&pd_rd_wg=irl3h&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=RFNEQNBMT3555GHBBFBS&psc=1&refRID=RFNEQNBMT3555GHBBFBS,https://www.amazon.com//PICTEK-Architecture-Independent-Anti-ghosting-Splash-Proof/product-reviews/B07XDHLJ9M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,GEPC232AB,,,,,Sega Genesis Games,PICTEK,,,4.6,,,,"May 15, 2019",,,,,17.68 x 8.66 x 1.26 inches,,PICTEK,,Black,,,,,17.68 x 8.66 x 1.26 inches,,,,B07XDHLJ9M,,,1.7 pounds,,,,,,,,,,,,,,,,,,,,,#321 in Video Games ( See Top 100 in Video Games ) #3 in Mac Gaming Keyboards,,,,,,,,GEPC232ABUS,,
16,Microsoft Wired Keyboard 600 (Black),,,,,https://www.amazon.com//Microsoft-Wired-Keyboard-600-Black/product-reviews/B001OAR26K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,4.6,,,,"December 23, 2008",,,,,,,Microsoft,,,,,,,18.6 x 1.5 x 6.9 inches,,,,B001OAR26K,,,1.65 pounds,,,,,,,,,,,,,,,,,No,,,,#23 in Computer Keyboards,,,,,,,,ANB-00001,,
17,"Wireless Keyboard and Mouse, Jelly Comb 2.4G Ultra Slim Wireless Keyboard Mouse Combo with 12 Multi-Media Keys and Auto Sleep for Windows/Computer/PC/Laptop/Desktop-Black and Red",XiongxiuUS,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A30SIG0RNU00WU&isAmazonFulfilled=1,"Wireless Keyboard and Mouse, Jelly Comb 2.4G USB Keyboard Mouse Combo Slim Ergonomic Quiet Energy…",https://www.amazon.com/Jelly-Comb-Ergonomic-Energy-Saving-Laptop-Black/dp/B084ZCSB2T/ref=pd_bxgy_2/144-4682497-2688543?_encoding=UTF8&pd_rd_i=B084ZCSB2T&pd_rd_r=66d4b6df-985c-43bc-8996-da89b2b6d6e7&pd_rd_w=GXaio&pd_rd_wg=jd0zm&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=DJAQVRC1ED451MFRCS06&psc=1&refRID=DJAQVRC1ED451MFRCS06,https://www.amazon.com//Wireless-Jelly-Comb-Multi-Media-Desktop-Black/product-reviews/B08K91L4F8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,4.6,,,,"September 28, 2020",,,,,,,Jelly Comb,,,,,,,17 x 5 x 1.2 inches,,,,B08K91L4F8,,,1.25 pounds,,,,,,,,,,,,,,,,,,,,,#28 in Computer Keyboard & Mouse Combos,,,,,,,,,,
18,"Wireless Keyboard and Mouse Combo Silent, RATEL 2.4GHz Ultra-Thin Full Sized Wireless Keyboard Mouse Set with USB Receiver for Computer, Desktop, PC, Notebook, Laptop (Black)",GF OF US,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1HUUGAO0MN2LP&isAmazonFulfilled=1,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and…,https://www.amazon.com/HP-24mh-FHD-Monitor-Built/dp/B08BF4CZSV/ref=pd_bxgy_2/141-4396409-8466919?_encoding=UTF8&pd_rd_i=B08BF4CZSV&pd_rd_r=7c395706-860b-45d7-8859-dd4b841f80d5&pd_rd_w=RtELA&pd_rd_wg=BBJqV&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=8E970R4WRVATAXTRX1N8&psc=1&refRID=8E970R4WRVATAXTRX1N8,https://www.amazon.com//Wireless-Keyboard-RATEL-Ultra-Thin-Receiver/product-reviews/B07XNNLN9N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,4.5,,,,"September 9, 2019",,,,,,,Juzheng Direct,,,,,,,16.13 x 4.7 x 0.8 inches,,,,B07XNNLN9N,,,2.09 pounds,,,,,,,,,,,,,,,,,,,,,#11 in Computer Keyboard & Mouse Combos,,,,,,,,,,
19,"Multi-Device Bluetooth Keyboard for Windows/Mac OS, seenda Ultra Slim Rechargeable Wireless Keyboard Switch to 3 Devices, for MacBook Pro/Air, Windows 7/8/10, iPad, Laptop, Computer, PC",jinminghuitech,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AL4U1ZCWGNMB4&isAmazonFulfilled=1,,,https://www.amazon.com//Multi-Device-Bluetooth-Keyboard-seenda-Rechargeable/product-reviews/B08LB2SVFX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,4.5,,,,"October 17, 2020",,,,,,,seenda,,,,,,,16.84 x 4.5 x 0.62 inches,,,,B08LB2SVFX,,,1.36 pounds,,,,,,,,,,,,,,,,,,,,,#75 in Computer Keyboards,,,,,,,,JP-064B-3,,
20,"Macally Wired Keyboard for Laptop - A Simple Workflow Enhancing Solution - Computer Keyboard Wired with 5ft Cable, 112 Slim Keys, 8 Media Keys, and Numeric Keypad - Plug and Play Windows USB Keyboard",Jukegear,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1EFL1J69ZJCO9&isAmazonFulfilled=1,,,https://www.amazon.com//Macally-Keyboard-Computer-Notebook-ChromeBook/product-reviews/B07R84PW29/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,4.6,,,,"May 2, 2019",,,,,,,Mace Group Inc / Macally Peripherals,,,,,,,,,,,B07R84PW29,,,1.54 pounds,,,,,,,19.09 x 7.72 x 1.42 inches,,,,,,,,,,,,,,#300 in Computer Keyboards,,,,,,,,DDKEY,,
21,X9 Performance Slim 2.4G USB Wireless Keyboard for Laptop or Computer - Designed for Windows - 110 Key Layout with Numeric Keypad and 17 Shortcut Keys - Rechargeable PC Keyboard Wireless - Aluminum,Jukegear,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1EFL1J69ZJCO9&isAmazonFulfilled=1,X9 Performance Silent Wireless Mouse for Mac or PC - Quiet Click Buttons and DPI Switch 800/1200…,https://www.amazon.com/X9-Performance-Silent-Wireless-Mouse/dp/B087JH1G6C/ref=pd_bxgy_2/146-5056374-2970261?_encoding=UTF8&pd_rd_i=B087JH1G6C&pd_rd_r=a9bd4696-39bd-4bd5-ab3c-8c2c25d84027&pd_rd_w=taerf&pd_rd_wg=3UEM2&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=1YCKBEPSMFMTVPWBTSCH&psc=1&refRID=1YCKBEPSMFMTVPWBTSCH,https://www.amazon.com//X9-Performance-Wireless-Keyboard-Computer/product-reviews/B084QGWFTH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,4.5,,,,"August 20, 2020",,,,,,,X9 Performance,,,,,,,,,,,B084QGWFTH,,,1.6 pounds,,,,,,,17.5 x 6.4 x 3.3 inches,,,,,,,,,,,,,,#176 in Computer Keyboards,,,,,,,,X9RFWWKEYBAT,,
